Species_full	n_genomes	mean_LAB_score	median_LAB_score	max_LAB_score	mean_safety	mean_GI_survival	mean_functional	mean_fermentation	n_elite	n_high	n_low
Lentilactobacillus hilgardii	10	85.95486656200943	87.69623233908949	91.59497645211933	97.0	81.71428571428572	90.76923076923076	37.224489795918366	6	4	0
Levilactobacillus brevis	120	82.3966182626897	83.58712715855573	88.87284144427002	96.25	79.23809523809524	79.93589743589745	32.874149659863946	27	86	0
Latilactobacillus sakei	15	80.17053898482469	80.49136577708006	84.35321821036106	98.0	83.80952380952381	61.7948717948718	27.59183673469388	0	15	0
Limosilactobacillus reuteri	310	76.83082366941815	77.62794348508635	90.12558869701726	93.40322580645162	74.0552995391705	70.14267990074441	22.570111915734035	55	202	8
Lactiplantibacillus plantarum	1233	74.37820290010072	75.23861852433281	82.61695447409733	79.01865369018654	65.00984822152705	76.8107804604155	72.05190592051906	0	1066	9
Lactiplantibacillus paraplantarum	24	74.20951072736787	73.45604395604397	78.19937205651492	80.0	64.76190476190476	76.36217948717949	67.46598639455782	0	24	0
Lactiplantibacillus pentosus	111	73.26400851400851	73.99215070643642	77.1773940345369	79.50450450450451	66.15186615186614	68.05266805266805	73.38481338481338	0	99	0
Latilactobacillus curvatus	67	72.28570842803252	72.39795918367348	81.64835164835165	96.64179104477611	65.11727078891256	47.53157290470723	30.112701797136765	0	54	0
Lactiplantibacillus argentoratensis	33	71.43820465249037	73.38461538461539	78.10989010989012	73.63636363636364	66.14718614718615	75.34965034965035	66.95114409400124	0	27	1
Ligilactobacillus murinus	18	70.49005756148614	69.81240188383046	75.23783359497646	90.0	75.23809523809524	35.256410256410255	41.29251700680272	0	9	0
Lentilactobacillus parabuchneri	27	70.4630501773359	69.77786499215071	80.36656200941914	72.5925925925926	64.02116402116401	91.38176638176638	35.147392290249435	0	13	0
Lacticaseibacillus rhamnosus	331	69.51551599026782	69.57064364207221	73.5337519623234	89.8489425981873	60.84592145015106	45.084824541017895	48.55046550342191	0	95	0
Lacticaseibacillus paracasei	17	68.91201865361529	69.39324960753532	73.37755102040816	87.3529411764706	62.35294117647059	45.24886877828055	49.65186074429772	0	6	0
Companilactobacillus paralimentarius	12	67.62202380952381	68.21978021978022	73.96546310832025	89.58333333333333	60.23809523809524	39.583333333333336	43.333333333333336	0	3	0
Limosilactobacillus fermentum	74	66.4236178879036	66.56750392464679	73.94348508634222	79.5945945945946	58.68725868725869	70.68607068607068	17.970215113072257	0	8	0
Ligilactobacillus salivarius	240	66.21464220303507	69.74175824175823	74.62872841444272	82.20833333333333	60.64285714285714	54.18269230769231	32.236394557823125	0	113	20
Limosilactobacillus mucosae	16	63.32520604395605	65.70094191522763	68.86028257456829	74.375	57.5	65.26442307692308	24.28571428571429	0	0	0
Apilactobacillus kunkeei	106	61.39848493824235	62.133437990580845	64.30141287284145	98.01886792452832	40.107816711590296	31.22278664731495	10.18482864844051	0	0	0
Lactobacillus acidophilus	93	60.60715551729377	61.03532182103611	61.87205651491366	89.78494623655914	42.21198156682027	33.560794044665016	29.387755102040813	0	0	0
Ligilactobacillus agilis	37	60.26662140947856	62.84262166405024	72.04317111459969	71.35135135135135	50.965250965250966	56.96465696465696	40.2426916712631	0	6	9
Lactobacillus taiwanensis	29	59.75539977264116	59.86734693877551	61.53139717425432	90.0	26.995073891625616	48.74005305039788	27.58620689655172	0	0	0
Lactobacillus intestinalis	10	58.3519623233909	58.90031397174254	59.641287284144425	90.0	31.428571428571427	39.42307692307692	21.10204081632653	0	0	0
Ligilactobacillus aviarius	23	58.0676233704184	58.50470957613815	66.23783359497645	81.52173913043478	44.72049689440994	42.14046822742476	17.74622892635315	0	0	2
Lactobacillus gasseri	223	57.90934769906583	57.73233908948195	63.88461538461539	88.04932735426009	32.709801409352984	38.69437737150742	23.7082456300906	0	0	5
Limosilactobacillus vaginalis	20	57.06736656200942	57.572213500784926	63.13971742543171	68.25	55.28571428571429	55.76923076923076	13.79591836734694	0	0	1
Fructilactobacillus fructivorans	13	56.872660306726246	57.11538461538461	58.21428571428571	90.0	45.93406593406594	21.745562130177515	5.400313971742543	0	0	0
Lactobacillus paragasseri	71	56.17322617020807	58.08084772370487	63.38069073783359	82.67605633802818	29.5774647887324	42.57854821235103	30.58924978442081	0	0	4
Lactobacillus helveticus	93	55.06502675511892	55.01334379905808	65.59262166405023	69.73118279569893	49.27803379416283	45.82299421009099	22.018872064955016	0	0	3
Lactobacillus delbrueckii	60	54.2764652014652	55.16169544740973	58.633437990580845	69.83333333333333	44.71428571428571	46.6025641025641	23.52380952380952	0	0	6
Lactobacillus johnsonii	35	53.90843238394259	55.98351648351648	62.24097331240189	81.42857142857143	27.428571428571427	37.69230769230769	28.69970845481049	0	0	8
Lactobacillus crispatus	112	52.23199568288855	53.91130298273156	66.5690737833595	62.94642857142857	44.336734693877546	49.81112637362638	28.596938775510203	0	0	25
Lactobacillus mulieris	43	50.285778175313055	50.50784929356358	52.84222919937206	69.65116279069767	41.59468438538206	34.48121645796064	16.47840531561462	0	0	15
Lactobacillus jensenii	63	49.03776382347811	48.95682888540031	52.638147566719	70.0	36.82539682539682	33.51648351648352	16.281179138321995	0	0	60
Fructilactobacillus sanfranciscensis	51	42.43922953796903	42.45368916797488	47.90423861852434	79.70588235294117	17.591036414565824	9.464555052790349	2.809123649459784	0	0	51
Lactobacillus iners	73	41.213963140577626	43.687990580847725	52.77237048665621	78.21917808219177	5.870841487279844	21.259220231822976	2.9577858540676547	0	0	59
