Functional_module	Importance
acid/energy metabolism	0.125207
GABA-associated genes	0.115312
CAZyme total	0.114309
Vitamin-related genes	0.091144
Cell-envelope/EPS features	0.089116
Osmotic stress response	0.06456
Bile resistance	0.058302
Immunomodulation-related genes	0.054793
Adhesion/biofilm-associated markers	0.054648
General metabolism	0.048292
Adhesion/surface markers	0.045595
Gut persistence	0.043359
Carbohydrate utilization	0.03659
Heat stress response	0.024907
Cold stress response	0.020011
Bacteriocin-associated genes	0.013856
