Accession	Species	LAB_score_v1	Priority_class	Safety_score	GI_survival_score	Functional_score	Fermentation_score	Completeness	Contamination	Contigs	TotalLength
GCF_019955265.1	Lentilactobacillus hilgardii	91.59497645211933	Elite	100	91.42857142857144	98.07692307692308	41.224489795918366	99.35	0.44	80	3196181
GCF_019955285.1	Lentilactobacillus hilgardii	91.59497645211933	Elite	100	91.42857142857144	98.07692307692308	41.224489795918366	99.35	0.44	87	3200159
GCF_009649565.1	Limosilactobacillus reuteri	90.12558869701726	Elite	100	91.42857142857144	98.07692307692308	26.53061224489796	96.69	1.3	104	2255506
GCF_025191085.1	Lentilactobacillus hilgardii	89.86342229199373	Elite	100	85.71428571428571	96.15384615384616	42.04081632653061	99.02	0.65	157	3204128
GCF_020784415.1	Limosilactobacillus reuteri	89.79434850863422	Elite	100	97.14285714285714	88.46153846153847	28.163265306122447	98.64	4.53	111	2408098
GCF_020784355.1	Limosilactobacillus reuteri	89.79434850863422	Elite	100	97.14285714285714	88.46153846153847	28.163265306122447	98.64	4.53	110	2406580
GCF_002254175.1	Limosilactobacillus reuteri	89.6828885400314	Elite	100	91.42857142857144	94.23076923076924	29.79591836734694	96.95	0.68	99	2175738
GCF_002254165.1	Limosilactobacillus reuteri	89.64207221350078	Elite	100	91.42857142857144	94.23076923076924	29.387755102040817	97.49	0.68	79	2182231
GCF_002254115.1	Limosilactobacillus reuteri	89.64207221350078	Elite	100	91.42857142857144	94.23076923076924	29.387755102040817	97.49	0.68	114	2193880
GCF_002254095.1	Limosilactobacillus reuteri	89.56043956043956	Elite	100	91.42857142857144	94.23076923076924	28.571428571428573	96.95	0.74	154	2166741
GCF_002254045.1	Limosilactobacillus reuteri	89.51962323390894	Elite	100	91.42857142857144	94.23076923076924	28.163265306122447	97.49	0.73	146	2164817
GCF_041226345.1	Limosilactobacillus reuteri	89.19309262166405	Elite	100	91.42857142857144	94.23076923076924	24.897959183673468	96.92	0.84	49	2040979
GCF_020784395.1	Limosilactobacillus reuteri	89.12087912087912	Elite	100	94.28571428571428	88.46153846153847	28.571428571428573	98.64	4.49	112	2443006
GCF_002254105.1	Limosilactobacillus reuteri	88.96860282574568	Elite	100	88.57142857142857	94.23076923076924	29.79591836734694	96.95	0.68	101	2191073
GCF_002254085.1	Limosilactobacillus reuteri	88.96860282574568	Elite	100	88.57142857142857	94.23076923076924	29.79591836734694	97.49	0.71	93	2183914
GCF_018784425.1	Levilactobacillus brevis	88.87284144427002	Elite	100	91.42857142857144	90.3846153846154	29.387755102040817	97.54	4.73	263	2568738
GCF_030378305.1	Levilactobacillus brevis	88.84458398744114	Elite	100	91.42857142857144	82.6923076923077	44.48979591836735	98.98	4.25	16	2750958
GCF_041870135.1	Levilactobacillus brevis	88.76766091051806	Elite	100	85.71428571428571	92.3076923076923	38.775510204081634	97.51	4.9	1	2776782
GCF_964065285.1	Levilactobacillus brevis	88.67189952904238	Elite	100	88.57142857142857	88.46153846153847	38.36734693877551	99.45	4.08	6	2476420
GCF_022350025.1	Levilactobacillus brevis	88.1883830455259	Elite	100	88.57142857142857	84.61538461538461	41.224489795918366	99.5	4.67	8	2546891
GCF_020785035.1	Limosilactobacillus reuteri	87.99686028257457	Elite	100	100.0	76.92307692307692	26.12244897959184	98.07	4.56	141	2368786
GCF_052222745.1	Lentilactobacillus hilgardii	87.8021978021978	Elite	100	77.14285714285714	96.15384615384616	42.85714285714285	99.35	0.44	3	3103255
GCF_052589095.1	Lentilactobacillus hilgardii	87.72684458398746	Elite	100	82.85714285714286	92.3076923076923	35.51020408163265	99.35	0.44	9	3129854
GCF_048565585.1	Levilactobacillus brevis	87.70486656200943	Elite	100	94.28571428571428	80.76923076923077	29.79591836734694	98.28	4.1	134	2510261
GCF_009832765.1	Lentilactobacillus hilgardii	87.66562009419152	Elite	100	80.0	92.3076923076923	42.04081632653061	99.35	0.65	6	3190226
GCF_009649475.1	Limosilactobacillus reuteri	87.66405023547881	Elite	100	94.28571428571428	80.76923076923077	29.387755102040817	97.76	1.28	138	2112985
GCF_001676805.1	Levilactobacillus brevis	87.63108320251177	Elite	100	85.71428571428571	88.46153846153847	35.10204081632653	98.49	3.94	1	2552671
GCF_020785115.1	Limosilactobacillus reuteri	87.31397174254316	Elite	100	94.28571428571428	82.6923076923077	22.040816326530614	98.45	2.58	120	2099280
GCF_020784275.1	Limosilactobacillus reuteri	87.1585557299843	Elite	100	85.71428571428571	90.3846153846154	26.53061224489796	97.31	0.87	169	2169144
GCF_002253865.1	Limosilactobacillus reuteri	87.08634222919936	Elite	100	88.57142857142857	84.61538461538461	30.20408163265306	97.53	2.26	99	2223192
GCF_002253835.1	Limosilactobacillus reuteri	87.04552590266876	Elite	100	88.57142857142857	84.61538461538461	29.79591836734694	97.53	2.3	110	2205242
GCF_020784875.1	Limosilactobacillus reuteri	87.04081632653062	Elite	100	100.0	75.0	20.40816326530612	99.21	3.82	122	2162028
GCF_020784805.1	Limosilactobacillus reuteri	87.04081632653062	Elite	100	100.0	75.0	20.40816326530612	99.21	3.82	125	2159483
GCF_051514545.1	Levilactobacillus brevis	87.02197802197803	Elite	100	82.85714285714286	86.53846153846153	40.0	99.01	4.38	6	2583178
GCF_002253925.1	Limosilactobacillus reuteri	87.00470957613814	Elite	100	88.57142857142857	84.61538461538461	29.387755102040817	98.28	1.66	145	2264211
GCF_002253685.1	Limosilactobacillus reuteri	87.00470957613814	Elite	100	88.57142857142857	84.61538461538461	29.387755102040817	97.53	1.92	116	2143488
GCF_002253725.1	Limosilactobacillus reuteri	87.00470957613814	Elite	100	88.57142857142857	84.61538461538461	29.387755102040817	97.6	1.82	148	2186996
GCF_002254035.1	Limosilactobacillus reuteri	86.96389324960752	Elite	100	88.57142857142857	84.61538461538461	28.97959183673469	98.39	1.55	146	2246191
GCF_002253625.1	Limosilactobacillus reuteri	86.96389324960752	Elite	100	88.57142857142857	84.61538461538461	28.97959183673469	97.53	1.64	109	2147812
GCF_002253955.1	Limosilactobacillus reuteri	86.92307692307692	Elite	100	88.57142857142857	84.61538461538461	28.571428571428573	98.39	1.96	155	2266929
GCF_002253745.1	Limosilactobacillus reuteri	86.84144427001569	Elite	100	88.57142857142857	84.61538461538461	27.755102040816325	97.49	1.77	163	2157107
GCF_018588725.1	Levilactobacillus brevis	86.83516483516485	Elite	100	82.85714285714286	88.46153846153847	34.285714285714285	97.62	3.07	45	2717785
GCF_020784895.1	Limosilactobacillus reuteri	86.76295133437992	Elite	100	91.42857142857144	82.6923076923077	23.6734693877551	98.37	2.03	87	2188188
GCF_023744455.1	Levilactobacillus brevis	86.75353218210363	Elite	100	82.85714285714286	88.46153846153847	33.46938775510204	98.52	4.8	45	2455073
GCF_020784255.1	Limosilactobacillus reuteri	86.72527472527473	Elite	100	94.28571428571428	80.76923076923077	20.0	97.56	2.32	87	2202969
GCF_025447255.1	Levilactobacillus brevis	86.70957613814757	Elite	100	80.0	90.3846153846154	36.326530612244895	97.92	3.98	5	2628394
GCF_024622305.1	Limosilactobacillus reuteri	86.6923076923077	Elite	100	85.71428571428571	88.46153846153847	25.714285714285715	98.64	1.58	62	2269982
GCF_040425635.1	Levilactobacillus brevis	86.22291993720566	Elite	100	82.85714285714286	88.46153846153847	28.163265306122447	98.52	3.19	53	2341662
GCF_006228225.1	Levilactobacillus brevis	86.21193092621665	Elite	100	82.85714285714286	82.6923076923077	39.59183673469388	98.63	3.97	3	2508862
GCF_051157175.1	Levilactobacillus brevis	86.1679748822606	Elite	100	85.71428571428571	84.61538461538461	28.163265306122447	99.51	0.99	68	2378072
GCF_003346245.1	Levilactobacillus brevis	86.14128728414444	Elite	100	82.85714285714286	88.46153846153847	27.346938775510203	98.52	4.53	92	2356510
GCF_020784495.1	Limosilactobacillus reuteri	86.01726844583987	Elite	100	91.42857142857144	76.92307692307692	27.755102040816325	98.48	0.9	208	2212475
GCF_020784515.1	Limosilactobacillus reuteri	86.01726844583987	Elite	100	91.42857142857144	76.92307692307692	27.755102040816325	98.48	0.9	208	2212274
GCF_020785415.1	Limosilactobacillus reuteri	85.94976452119309	Elite	100	88.57142857142857	80.76923076923077	26.53061224489796	98.64	4.24	87	2159046
GCF_925285845.1	Levilactobacillus brevis	85.91365777080063	Elite	100	77.14285714285714	90.3846153846154	35.51020408163265	98.52	4.27	55	2709382
GCF_925281805.1	Levilactobacillus brevis	85.81789638932496	Elite	100	80.0	86.53846153846153	35.10204081632653	98.46	3.55	29	2570360
GCF_964065115.1	Levilactobacillus brevis	85.78649921507066	Elite	100	82.85714285714286	80.76923076923077	39.18367346938776	99.25	3.69	4	2491326
GCF_002156605.1	Limosilactobacillus reuteri	85.70800627943485	Elite	100	91.42857142857144	78.84615384615384	20.816326530612244	97.44	0.91	75	2148567
